INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=3/36 | 52 samples
INFO   [  1/ 52] 0003 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 57s | ETA 0.8h
INFO   [  2/ 52] 0039 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 36s | ETA 0.6h
INFO   [  3/ 52] 0075 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 36s | ETA 0.6h
INFO   [  4/ 52] 0111 gold=MALIGNANT | 20 claims 11 mal |  9 disagree  3 agree | 35s | ETA 0.5h
INFO   [  5/ 52] 0147 gold=BENIGN    | 20 claims 13 mal | 11 disagree  1 agree | 36s | ETA 0.5h
INFO   [  6/ 52] 0183 gold=MALIGNANT | 20 claims  5 mal |  8 disagree  4 agree | 36s | ETA 0.5h
INFO   [  7/ 52] 0219 gold=BENIGN    | 19 claims  5 mal |  8 disagree  4 agree | 35s | ETA 0.5h
INFO   [  8/ 52] 0255 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 37s | ETA 0.5h
INFO   [  9/ 52] 0291 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 36s | ETA 0.5h
INFO   [ 10/ 52] 0327 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 35s | ETA 0.4h
INFO   [ 11/ 52] 0363 gold=BENIGN    | 19 claims 10 mal |  5 disagree  7 agree | 37s | ETA 0.4h
INFO   [ 12/ 52] 0399 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 36s | ETA 0.4h
INFO   [ 13/ 52] 0435 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 35s | ETA 0.4h
INFO   [ 14/ 52] 0471 gold=MALIGNANT | 20 claims  7 mal | 11 disagree  1 agree | 37s | ETA 0.4h
INFO   [ 15/ 52] 0507 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 36s | ETA 0.4h
INFO   [ 16/ 52] 0543 gold=BENIGN    | 19 claims 10 mal | 10 disagree  2 agree | 36s | ETA 0.4h
INFO   [ 17/ 52] 0579 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 36s | ETA 0.4h
INFO   [ 18/ 52] 0615 gold=MALIGNANT | 19 claims  8 mal | 12 disagree  0 agree | 37s | ETA 0.4h
INFO   [ 19/ 52] 0651 gold=BENIGN    | 20 claims 13 mal |  9 disagree  3 agree | 38s | ETA 0.3h
INFO   [ 20/ 52] 0687 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 36s | ETA 0.3h
INFO   [ 21/ 52] 0723 gold=BENIGN    | 20 claims 15 mal | 10 disagree  2 agree | 35s | ETA 0.3h
INFO   [ 22/ 52] 0759 gold=BENIGN    | 19 claims  9 mal |  7 disagree  4 agree | 35s | ETA 0.3h
INFO   [ 23/ 52] 0795 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 36s | ETA 0.3h
INFO   [ 24/ 52] 0831 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 37s | ETA 0.3h
