INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=0/36 | 53 samples
INFO   [  1/ 53] 0000 gold=MALIGNANT | 19 claims 15 mal | 11 disagree  1 agree | 53s | ETA 0.8h
INFO   [  2/ 53] 0036 gold=MALIGNANT | 20 claims 16 mal |  7 disagree  5 agree | 27s | ETA 0.6h
INFO   [  3/ 53] 0072 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 26s | ETA 0.5h
INFO   [  4/ 53] 0108 gold=BENIGN    | 19 claims  9 mal |  9 disagree  3 agree | 26s | ETA 0.5h
INFO   [  5/ 53] 0144 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 26s | ETA 0.4h
INFO   [  6/ 53] 0180 gold=BENIGN    | 20 claims 10 mal |  8 disagree  4 agree | 26s | ETA 0.4h
INFO   [  7/ 53] 0216 gold=BENIGN    | 19 claims  8 mal |  7 disagree  4 agree | 25s | ETA 0.4h
INFO   [  8/ 53] 0252 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 27s | ETA 0.4h
INFO   [  9/ 53] 0288 gold=BENIGN    | 18 claims 10 mal | 12 disagree  0 agree | 25s | ETA 0.4h
INFO   [ 10/ 53] 0324 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 27s | ETA 0.3h
INFO   [ 11/ 53] 0360 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 12/ 53] 0396 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 13/ 53] 0432 gold=BENIGN    | 18 claims  8 mal |  9 disagree  3 agree | 26s | ETA 0.3h
INFO   [ 14/ 53] 0468 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 26s | ETA 0.3h
INFO   [ 15/ 53] 0504 gold=BENIGN    | 20 claims  9 mal |  7 disagree  5 agree | 27s | ETA 0.3h
INFO   [ 16/ 53] 0540 gold=BENIGN    | 20 claims 11 mal |  9 disagree  3 agree | 26s | ETA 0.3h
INFO   [ 17/ 53] 0576 gold=BENIGN    | 20 claims 12 mal |  7 disagree  5 agree | 26s | ETA 0.3h
INFO   [ 18/ 53] 0612 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 25s | ETA 0.3h
INFO   [ 19/ 53] 0648 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 25s | ETA 0.3h
INFO   [ 20/ 53] 0684 gold=MALIGNANT | 20 claims 16 mal |  6 disagree  6 agree | 26s | ETA 0.3h
INFO   [ 21/ 53] 0720 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 25s | ETA 0.2h
INFO   [ 22/ 53] 0756 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 27s | ETA 0.2h
INFO   [ 23/ 53] 0792 gold=BENIGN    | 17 claims  6 mal |  8 disagree  1 agree | 24s | ETA 0.2h
INFO   [ 24/ 53] 0828 gold=BENIGN    | 19 claims 10 mal |  7 disagree  5 agree | 25s | ETA 0.2h
INFO   [ 25/ 53] 0864 gold=MALIGNANT | 16 claims  8 mal |  8 disagree  0 agree | 24s | ETA 0.2h
INFO   [ 26/ 53] 0900 gold=BENIGN    | 20 claims  7 mal |  7 disagree  5 agree | 26s | ETA 0.2h
INFO   [ 27/ 53] 0936 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 28/ 53] 0972 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 29/ 53] 1008 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 30/ 53] 1044 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 28s | ETA 0.2h
INFO   [ 31/ 53] 1080 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 26s | ETA 0.2h
INFO   [ 32/ 53] 1116 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 26s | ETA 0.2h
INFO   [ 33/ 53] 1152 gold=MALIGNANT | 20 claims 13 mal |  5 disagree  7 agree | 26s | ETA 0.1h
INFO   [ 34/ 53] 1188 gold=BENIGN    | 20 claims 15 mal |  9 disagree  3 agree | 27s | ETA 0.1h
INFO   [ 35/ 53] 1224 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 27s | ETA 0.1h
INFO   [ 36/ 53] 1260 gold=BENIGN    | 18 claims  6 mal |  9 disagree  3 agree | 27s | ETA 0.1h
INFO   [ 37/ 53] 1296 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 26s | ETA 0.1h
INFO   [ 38/ 53] 1332 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 39/ 53] 1368 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 28s | ETA 0.1h
INFO   [ 40/ 53] 1404 gold=BENIGN    | 19 claims 10 mal |  9 disagree  3 agree | 26s | ETA 0.1h
INFO   [ 41/ 53] 1440 gold=MALIGNANT | 16 claims  7 mal |  8 disagree  0 agree | 24s | ETA 0.1h
INFO   [ 42/ 53] 1476 gold=MALIGNANT | 17 claims 12 mal |  9 disagree  1 agree | 27s | ETA 0.1h
INFO   [ 43/ 53] 1512 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 44/ 53] 1548 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 45/ 53] 1584 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 26s | ETA 0.1h
INFO   [ 46/ 53] 1620 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 26s | ETA 0.1h
INFO   [ 47/ 53] 1656 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 26s | ETA 0.0h
