INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=6/36 | 52 samples
INFO   [  1/ 52] 0006 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 54s | ETA 0.8h
INFO   [  2/ 52] 0042 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 47s | ETA 0.7h
INFO   [  3/ 52] 0078 gold=MALIGNANT | 18 claims 11 mal | 10 disagree  1 agree | 51s | ETA 0.7h
INFO   [  4/ 52] 0114 gold=BENIGN    | 19 claims  7 mal |  9 disagree  3 agree | 54s | ETA 0.7h
INFO   [  5/ 52] 0150 gold=BENIGN    | 19 claims 14 mal | 12 disagree  0 agree | 56s | ETA 0.7h
INFO   [  6/ 52] 0186 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 58s | ETA 0.7h
INFO   [  7/ 52] 0222 gold=MALIGNANT | 19 claims  9 mal |  9 disagree  3 agree | 60s | ETA 0.7h
INFO   [  8/ 52] 0258 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 60s | ETA 0.7h
INFO   [  9/ 52] 0294 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 60s | ETA 0.7h
INFO   [ 10/ 52] 0330 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 62s | ETA 0.7h
INFO   [ 11/ 52] 0366 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 59s | ETA 0.6h
INFO   [ 12/ 52] 0402 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 58s | ETA 0.6h
INFO   [ 13/ 52] 0438 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 62s | ETA 0.6h
INFO   [ 14/ 52] 0474 gold=MALIGNANT | 19 claims  8 mal |  9 disagree  3 agree | 66s | ETA 0.6h
INFO   [ 15/ 52] 0510 gold=BENIGN    | 16 claims  5 mal |  8 disagree  0 agree | 54s | ETA 0.6h
INFO   [ 16/ 52] 0546 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 59s | ETA 0.6h
INFO   [ 17/ 52] 0582 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 61s | ETA 0.6h
INFO   [ 18/ 52] 0618 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 61s | ETA 0.5h
INFO   [ 19/ 52] 0654 gold=MALIGNANT | 19 claims 12 mal | 10 disagree  2 agree | 62s | ETA 0.5h
INFO   [ 20/ 52] 0690 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 60s | ETA 0.5h
INFO   [ 21/ 52] 0726 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 61s | ETA 0.5h
INFO   [ 22/ 52] 0762 gold=MALIGNANT | 20 claims  5 mal |  6 disagree  6 agree | 58s | ETA 0.5h
INFO   [ 23/ 52] 0798 gold=MALIGNANT | 19 claims 14 mal |  8 disagree  4 agree | 60s | ETA 0.5h
INFO   [ 24/ 52] 0834 gold=BENIGN    | 19 claims 14 mal |  8 disagree  4 agree | 60s | ETA 0.5h
