INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=32/36 | 52 samples
INFO   [  1/ 52] 0032 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 49s | ETA 0.7h
INFO   [  2/ 52] 0068 gold=MALIGNANT | 19 claims  6 mal |  8 disagree  4 agree | 49s | ETA 0.7h
INFO   [  3/ 52] 0104 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 52s | ETA 0.7h
INFO   [  4/ 52] 0140 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 59s | ETA 0.7h
INFO   [  5/ 52] 0176 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 60s | ETA 0.7h
INFO   [  6/ 52] 0212 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 59s | ETA 0.7h
INFO   [  7/ 52] 0248 gold=BENIGN    | 20 claims 15 mal |  8 disagree  4 agree | 59s | ETA 0.7h
INFO   [  8/ 52] 0284 gold=BENIGN    | 20 claims 16 mal |  5 disagree  7 agree | 67s | ETA 0.7h
INFO   [  9/ 52] 0320 gold=BENIGN    | 19 claims  7 mal |  9 disagree  3 agree | 61s | ETA 0.7h
INFO   [ 10/ 52] 0356 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 62s | ETA 0.7h
INFO   [ 11/ 52] 0392 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 64s | ETA 0.7h
INFO   [ 12/ 52] 0428 gold=MALIGNANT | 19 claims 11 mal |  6 disagree  6 agree | 62s | ETA 0.7h
INFO   [ 13/ 52] 0464 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 63s | ETA 0.6h
INFO   [ 14/ 52] 0500 gold=MALIGNANT | 20 claims  9 mal | 11 disagree  1 agree | 62s | ETA 0.6h
INFO   [ 15/ 52] 0536 gold=MALIGNANT | 20 claims  9 mal | 10 disagree  2 agree | 63s | ETA 0.6h
INFO   [ 16/ 52] 0572 gold=BENIGN    | 19 claims 13 mal |  8 disagree  4 agree | 64s | ETA 0.6h
INFO   [ 17/ 52] 0608 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 63s | ETA 0.6h
INFO   [ 18/ 52] 0644 gold=BENIGN    | 19 claims 14 mal |  8 disagree  4 agree | 60s | ETA 0.6h
INFO   [ 19/ 52] 0680 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 61s | ETA 0.5h
