INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=8/36 | 52 samples
INFO   [  1/ 52] 0008 gold=MALIGNANT | 20 claims  9 mal |  8 disagree  4 agree | 244s | ETA 3.5h
INFO   [  2/ 52] 0044 gold=BENIGN    | 19 claims 11 mal |  8 disagree  4 agree | 222s | ETA 3.2h
INFO   [  3/ 52] 0080 gold=BENIGN    | 19 claims  6 mal |  7 disagree  5 agree | 242s | ETA 3.2h
INFO   [  4/ 52] 0116 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 222s | ETA 3.1h
INFO   [  5/ 52] 0152 gold=BENIGN    | 18 claims 11 mal | 12 disagree  0 agree | 221s | ETA 3.0h
INFO   [  6/ 52] 0188 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 222s | ETA 2.9h
INFO   [  7/ 52] 0224 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 227s | ETA 2.9h
INFO   [  8/ 52] 0260 gold=BENIGN    | 19 claims 10 mal |  8 disagree  4 agree | 227s | ETA 2.8h
INFO   [  9/ 52] 0296 gold=BENIGN    | 19 claims  9 mal |  8 disagree  4 agree | 221s | ETA 2.7h
INFO   [ 10/ 52] 0332 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 222s | ETA 2.6h
INFO   [ 11/ 52] 0368 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 227s | ETA 2.6h
INFO   [ 12/ 52] 0404 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 235s | ETA 2.5h
INFO   [ 13/ 52] 0440 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 222s | ETA 2.5h
INFO   [ 14/ 52] 0476 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 227s | ETA 2.4h
INFO   [ 15/ 52] 0512 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 228s | ETA 2.3h
INFO   [ 16/ 52] 0548 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 241s | ETA 2.3h
INFO   [ 17/ 52] 0584 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 222s | ETA 2.2h
INFO   [ 18/ 52] 0620 gold=BENIGN    | 18 claims  8 mal | 12 disagree  0 agree | 221s | ETA 2.1h
INFO   [ 19/ 52] 0656 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 222s | ETA 2.1h
INFO   [ 20/ 52] 0692 gold=MALIGNANT | 19 claims 15 mal |  4 disagree  8 agree | 222s | ETA 2.0h
INFO   [ 21/ 52] 0728 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 222s | ETA 2.0h
INFO   [ 22/ 52] 0764 gold=MALIGNANT | 20 claims  9 mal | 11 disagree  1 agree | 227s | ETA 1.9h
INFO   [ 23/ 52] 0800 gold=BENIGN    | 20 claims 15 mal |  3 disagree  9 agree | 227s | ETA 1.8h
INFO   [ 24/ 52] 0836 gold=MALIGNANT | 20 claims  8 mal | 10 disagree  2 agree | 224s | ETA 1.8h
INFO   [ 25/ 52] 0872 gold=MALIGNANT | 20 claims 11 mal |  9 disagree  3 agree | 241s | ETA 1.7h
INFO   [ 26/ 52] 0908 gold=BENIGN    | 20 claims 16 mal |  7 disagree  5 agree | 242s | ETA 1.6h
INFO   [ 27/ 52] 0944 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 223s | ETA 1.6h
INFO   [ 28/ 52] 0980 gold=BENIGN    | 20 claims 14 mal |  9 disagree  3 agree | 227s | ETA 1.5h
INFO   [ 29/ 52] 1016 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 229s | ETA 1.5h
INFO   [ 30/ 52] 1052 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 221s | ETA 1.4h
INFO   [ 31/ 52] 1088 gold=BENIGN    | 19 claims 11 mal | 11 disagree  1 agree | 222s | ETA 1.3h
INFO   [ 32/ 52] 1124 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 236s | ETA 1.3h
INFO   [ 33/ 52] 1160 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 223s | ETA 1.2h
INFO   [ 34/ 52] 1196 gold=BENIGN    | 20 claims  6 mal |  5 disagree  7 agree | 227s | ETA 1.1h
INFO   [ 35/ 52] 1232 gold=MALIGNANT | 20 claims 13 mal |  9 disagree  3 agree | 233s | ETA 1.1h
INFO   [ 36/ 52] 1268 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 227s | ETA 1.0h
