INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=8/36 | 52 samples
INFO   [ 37/ 52] 1304 gold=BENIGN    | 19 claims 14 mal |  9 disagree  3 agree | 14s | ETA 0.0h
INFO   [ 38/ 52] 1340 gold=BENIGN    | 19 claims  6 mal |  9 disagree  3 agree | 15s | ETA 0.0h
INFO   [ 39/ 52] 1376 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 14s | ETA 0.0h
INFO   [ 40/ 52] 1412 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 16s | ETA 0.0h
INFO   [ 41/ 52] 1448 gold=BENIGN    | 20 claims  7 mal |  9 disagree  3 agree | 15s | ETA 0.0h
INFO   [ 42/ 52] 1484 gold=MALIGNANT | 20 claims 16 mal |  9 disagree  3 agree | 15s | ETA 0.0h
INFO   [ 43/ 52] 1520 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 44/ 52] 1556 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 45/ 52] 1592 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 15s | ETA 0.0h
INFO   [ 46/ 52] 1628 gold=BENIGN    | 19 claims 11 mal |  9 disagree  3 agree | 15s | ETA 0.0h
INFO   [ 47/ 52] 1664 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 48/ 52] 1700 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 49/ 52] 1736 gold=MALIGNANT | 20 claims  6 mal |  8 disagree  4 agree | 15s | ETA 0.0h
INFO   [ 50/ 52] 1772 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 16s | ETA 0.0h
INFO   [ 51/ 52] 1808 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 20s | ETA 0.0h
INFO   [ 52/ 52] 1844 gold=MALIGNANT | 19 claims 11 mal | 11 disagree  1 agree | 15s | ETA 0.0h
INFO Done in 4.1 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
