INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=10/36 | 52 samples
INFO   [  1/ 52] 0010 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  2/ 52] 0046 gold=MALIGNANT | 20 claims 12 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  3/ 52] 0082 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [  4/ 52] 0118 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  5/ 52] 0154 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  6/ 52] 0190 gold=BENIGN    | 19 claims 12 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  7/ 52] 0226 gold=BENIGN    | 20 claims 13 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [  8/ 52] 0262 gold=BENIGN    | 19 claims 11 mal |  8 disagree  3 agree | 11s | ETA 0.1h
INFO   [  9/ 52] 0298 gold=BENIGN    | 18 claims  9 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [ 10/ 52] 0334 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 11/ 52] 0370 gold=MALIGNANT | 19 claims  6 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [ 12/ 52] 0406 gold=BENIGN    | 20 claims  3 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [ 13/ 52] 0442 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 14/ 52] 0478 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 15/ 52] 0514 gold=MALIGNANT | 19 claims 15 mal |  7 disagree  5 agree | 11s | ETA 0.1h
INFO   [ 16/ 52] 0550 gold=MALIGNANT | 19 claims 11 mal |  8 disagree  4 agree | 10s | ETA 0.1h
INFO   [ 17/ 52] 0586 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 18/ 52] 0622 gold=MALIGNANT | 20 claims 13 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [ 19/ 52] 0658 gold=BENIGN    | 20 claims  4 mal |  8 disagree  4 agree | 10s | ETA 0.1h
INFO   [ 20/ 52] 0694 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 21/ 52] 0730 gold=MALIGNANT | 20 claims 13 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 22/ 52] 0766 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 23/ 52] 0802 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 24/ 52] 0838 gold=MALIGNANT | 20 claims 13 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 25/ 52] 0874 gold=BENIGN    | 20 claims 15 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 26/ 52] 0910 gold=MALIGNANT | 20 claims 11 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 27/ 52] 0946 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 28/ 52] 0982 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 29/ 52] 1018 gold=BENIGN    | 19 claims 10 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 30/ 52] 1054 gold=BENIGN    | 20 claims 14 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 31/ 52] 1090 gold=BENIGN    | 20 claims  7 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 32/ 52] 1126 gold=BENIGN    | 19 claims 10 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 33/ 52] 1162 gold=MALIGNANT | 15 claims  6 mal |  8 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 34/ 52] 1198 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 35/ 52] 1234 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 36/ 52] 1270 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 37/ 52] 1306 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 38/ 52] 1342 gold=MALIGNANT | 19 claims 15 mal |  8 disagree  4 agree | 11s | ETA 0.0h
INFO   [ 39/ 52] 1378 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 11s | ETA 0.0h
