INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=21/36 | 52 samples
INFO   [  1/ 52] 0021 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 51s | ETA 0.7h
INFO   [  2/ 52] 0057 gold=MALIGNANT | 19 claims 15 mal |  9 disagree  3 agree | 56s | ETA 0.7h
INFO   [  3/ 52] 0093 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 59s | ETA 0.8h
INFO   [  4/ 52] 0129 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 60s | ETA 0.8h
INFO   [  5/ 52] 0165 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 59s | ETA 0.7h
INFO   [  6/ 52] 0201 gold=BENIGN    | 20 claims 14 mal | 11 disagree  1 agree | 59s | ETA 0.7h
INFO   [  7/ 52] 0237 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 59s | ETA 0.7h
INFO   [  8/ 52] 0273 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 59s | ETA 0.7h
INFO   [  9/ 52] 0309 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 63s | ETA 0.7h
INFO   [ 10/ 52] 0345 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 60s | ETA 0.7h
INFO   [ 11/ 52] 0381 gold=BENIGN    | 18 claims 12 mal |  9 disagree  3 agree | 58s | ETA 0.7h
INFO   [ 12/ 52] 0417 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 60s | ETA 0.7h
INFO   [ 13/ 52] 0453 gold=MALIGNANT | 20 claims  7 mal |  9 disagree  3 agree | 60s | ETA 0.6h
INFO   [ 14/ 52] 0489 gold=MALIGNANT | 19 claims 12 mal | 11 disagree  1 agree | 60s | ETA 0.6h
INFO   [ 15/ 52] 0525 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 61s | ETA 0.6h
INFO   [ 16/ 52] 0561 gold=BENIGN    | 20 claims 11 mal |  8 disagree  4 agree | 61s | ETA 0.6h
INFO   [ 17/ 52] 0597 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 60s | ETA 0.6h
INFO   [ 18/ 52] 0633 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 62s | ETA 0.6h
INFO   [ 19/ 52] 0669 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 61s | ETA 0.5h
INFO   [ 20/ 52] 0705 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 59s | ETA 0.5h
INFO   [ 21/ 52] 0741 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 60s | ETA 0.5h
INFO   [ 22/ 52] 0777 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 64s | ETA 0.5h
INFO   [ 23/ 52] 0813 gold=BENIGN    | 18 claims  7 mal | 10 disagree  2 agree | 61s | ETA 0.5h
INFO   [ 24/ 52] 0849 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 67s | ETA 0.5h
INFO   [ 25/ 52] 0885 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 63s | ETA 0.5h
INFO   [ 26/ 52] 0921 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 60s | ETA 0.4h
INFO   [ 27/ 52] 0957 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 61s | ETA 0.4h
INFO   [ 28/ 52] 0993 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 62s | ETA 0.4h
INFO   [ 29/ 52] 1029 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 62s | ETA 0.4h
INFO   [ 30/ 52] 1065 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 60s | ETA 0.4h
INFO   [ 31/ 52] 1101 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 61s | ETA 0.4h
INFO   [ 32/ 52] 1137 gold=BENIGN    | 20 claims 14 mal |  8 disagree  4 agree | 60s | ETA 0.3h
INFO   [ 33/ 52] 1173 gold=BENIGN    | 20 claims 14 mal |  8 disagree  4 agree | 63s | ETA 0.3h
INFO   [ 34/ 52] 1209 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 61s | ETA 0.3h
INFO   [ 35/ 52] 1245 gold=BENIGN    | 19 claims 13 mal |  8 disagree  4 agree | 58s | ETA 0.3h
INFO   [ 36/ 52] 1281 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 63s | ETA 0.3h
INFO   [ 37/ 52] 1317 gold=BENIGN    | 17 claims  3 mal |  5 disagree  5 agree | 57s | ETA 0.3h
INFO   [ 38/ 52] 1353 gold=BENIGN    | 19 claims 11 mal |  9 disagree  3 agree | 59s | ETA 0.2h
INFO   [ 39/ 52] 1389 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 59s | ETA 0.2h
INFO   [ 40/ 52] 1425 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 60s | ETA 0.2h
INFO   [ 41/ 52] 1461 gold=MALIGNANT | 19 claims  9 mal | 10 disagree  2 agree | 64s | ETA 0.2h
INFO   [ 42/ 52] 1497 gold=BENIGN    | 20 claims  6 mal |  4 disagree  8 agree | 60s | ETA 0.2h
INFO   [ 43/ 52] 1533 gold=BENIGN    | 19 claims 10 mal | 10 disagree  2 agree | 59s | ETA 0.2h
INFO   [ 44/ 52] 1569 gold=BENIGN    | 19 claims 10 mal | 10 disagree  2 agree | 59s | ETA 0.1h
INFO   [ 45/ 52] 1605 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 61s | ETA 0.1h
INFO   [ 46/ 52] 1641 gold=MALIGNANT | 18 claims 10 mal | 12 disagree  0 agree | 59s | ETA 0.1h
INFO   [ 47/ 52] 1677 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 61s | ETA 0.1h
INFO   [ 48/ 52] 1713 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 63s | ETA 0.1h
INFO   [ 49/ 52] 1749 gold=BENIGN    | 20 claims 18 mal | 12 disagree  0 agree | 66s | ETA 0.1h
INFO   [ 50/ 52] 1785 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 61s | ETA 0.0h
INFO   [ 51/ 52] 1821 gold=MALIGNANT | 19 claims 14 mal | 10 disagree  2 agree | 60s | ETA 0.0h
INFO   [ 52/ 52] 1857 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 61s | ETA 0.0h
INFO Done in 52.3 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
