INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=31/36 | 52 samples
INFO   [  1/ 52] 0031 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 48s | ETA 0.7h
INFO   [  2/ 52] 0067 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 48s | ETA 0.7h
INFO   [  3/ 52] 0103 gold=MALIGNANT | 20 claims 15 mal | 12 disagree  0 agree | 57s | ETA 0.7h
INFO   [  4/ 52] 0139 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 59s | ETA 0.7h
INFO   [  5/ 52] 0175 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 59s | ETA 0.7h
INFO   [  6/ 52] 0211 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 66s | ETA 0.7h
INFO   [  7/ 52] 0247 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 61s | ETA 0.7h
INFO   [  8/ 52] 0283 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 61s | ETA 0.7h
INFO   [  9/ 52] 0319 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 63s | ETA 0.7h
INFO   [ 10/ 52] 0355 gold=BENIGN    | 19 claims  8 mal |  8 disagree  4 agree | 61s | ETA 0.7h
INFO   [ 11/ 52] 0391 gold=BENIGN    | 19 claims  4 mal |  9 disagree  3 agree | 61s | ETA 0.7h
INFO   [ 12/ 52] 0427 gold=MALIGNANT | 19 claims 10 mal | 11 disagree  1 agree | 62s | ETA 0.7h
INFO   [ 13/ 52] 0463 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 62s | ETA 0.6h
INFO   [ 14/ 52] 0499 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 61s | ETA 0.6h
INFO   [ 15/ 52] 0535 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 66s | ETA 0.6h
INFO   [ 16/ 52] 0571 gold=BENIGN    | 19 claims 11 mal | 11 disagree  1 agree | 62s | ETA 0.6h
INFO   [ 17/ 52] 0607 gold=MALIGNANT | 20 claims 15 mal |  6 disagree  6 agree | 61s | ETA 0.6h
INFO   [ 18/ 52] 0643 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 62s | ETA 0.6h
INFO   [ 19/ 52] 0679 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 63s | ETA 0.6h
INFO   [ 20/ 52] 0715 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 62s | ETA 0.5h
