INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=20/36 | 52 samples
INFO   [  1/ 52] 0020 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 57s | ETA 0.8h
INFO   [  2/ 52] 0056 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 63s | ETA 0.8h
INFO   [  3/ 52] 0092 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 62s | ETA 0.8h
INFO   [  4/ 52] 0128 gold=BENIGN    | 19 claims  6 mal |  9 disagree  3 agree | 63s | ETA 0.8h
INFO   [  5/ 52] 0164 gold=BENIGN    | 20 claims  1 mal |  2 disagree 10 agree | 60s | ETA 0.8h
INFO   [  6/ 52] 0200 gold=BENIGN    | 19 claims 11 mal | 11 disagree  1 agree | 60s | ETA 0.8h
INFO   [  7/ 52] 0236 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 67s | ETA 0.8h
INFO   [  8/ 52] 0272 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 65s | ETA 0.8h
INFO   [  9/ 52] 0308 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 63s | ETA 0.7h
INFO   [ 10/ 52] 0344 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 64s | ETA 0.7h
INFO   [ 11/ 52] 0380 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 62s | ETA 0.7h
INFO   [ 12/ 52] 0416 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 63s | ETA 0.7h
INFO   [ 13/ 52] 0452 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 61s | ETA 0.7h
INFO   [ 14/ 52] 0488 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 61s | ETA 0.7h
INFO   [ 15/ 52] 0524 gold=BENIGN    | 19 claims 14 mal | 11 disagree  1 agree | 61s | ETA 0.6h
INFO   [ 16/ 52] 0560 gold=MALIGNANT | 19 claims 10 mal | 11 disagree  1 agree | 62s | ETA 0.6h
INFO   [ 17/ 52] 0596 gold=BENIGN    | 20 claims  7 mal |  7 disagree  5 agree | 61s | ETA 0.6h
INFO   [ 18/ 52] 0632 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 63s | ETA 0.6h
INFO   [ 19/ 52] 0668 gold=BENIGN    | 19 claims 13 mal | 10 disagree  2 agree | 62s | ETA 0.6h
INFO   [ 20/ 52] 0704 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 63s | ETA 0.6h
INFO   [ 21/ 52] 0740 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 60s | ETA 0.5h
INFO   [ 22/ 52] 0776 gold=BENIGN    | 19 claims  8 mal | 10 disagree  2 agree | 61s | ETA 0.5h
INFO   [ 23/ 52] 0812 gold=BENIGN    | 18 claims 11 mal | 11 disagree  1 agree | 61s | ETA 0.5h
INFO   [ 24/ 52] 0848 gold=MALIGNANT | 20 claims 12 mal | 11 disagree  1 agree | 63s | ETA 0.5h
INFO   [ 25/ 52] 0884 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 60s | ETA 0.5h
INFO   [ 26/ 52] 0920 gold=BENIGN    | 20 claims 13 mal | 10 disagree  2 agree | 62s | ETA 0.4h
INFO   [ 27/ 52] 0956 gold=MALIGNANT | 19 claims 10 mal |  5 disagree  7 agree | 61s | ETA 0.4h
INFO   [ 28/ 52] 0992 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 61s | ETA 0.4h
INFO   [ 29/ 52] 1028 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 63s | ETA 0.4h
INFO   [ 30/ 52] 1064 gold=BENIGN    | 19 claims 10 mal | 10 disagree  2 agree | 61s | ETA 0.4h
INFO   [ 31/ 52] 1100 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 63s | ETA 0.4h
INFO   [ 32/ 52] 1136 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 61s | ETA 0.3h
INFO   [ 33/ 52] 1172 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 63s | ETA 0.3h
INFO   [ 34/ 52] 1208 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 62s | ETA 0.3h
INFO   [ 35/ 52] 1244 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 65s | ETA 0.3h
INFO   [ 36/ 52] 1280 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 63s | ETA 0.3h
INFO   [ 37/ 52] 1316 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 65s | ETA 0.3h
INFO   [ 38/ 52] 1352 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 62s | ETA 0.2h
INFO   [ 39/ 52] 1388 gold=BENIGN    | 19 claims 12 mal | 10 disagree  2 agree | 62s | ETA 0.2h
INFO   [ 40/ 52] 1424 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 62s | ETA 0.2h
INFO   [ 41/ 52] 1460 gold=BENIGN    | 19 claims 11 mal |  9 disagree  3 agree | 61s | ETA 0.2h
INFO   [ 42/ 52] 1496 gold=BENIGN    | 18 claims  8 mal | 11 disagree  1 agree | 60s | ETA 0.2h
INFO   [ 43/ 52] 1532 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 64s | ETA 0.2h
INFO   [ 44/ 52] 1568 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 61s | ETA 0.1h
INFO   [ 45/ 52] 1604 gold=BENIGN    | 20 claims  6 mal |  7 disagree  5 agree | 63s | ETA 0.1h
INFO   [ 46/ 52] 1640 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 65s | ETA 0.1h
