INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=17/36 | 52 samples
INFO   [  1/ 52] 0017 gold=MALIGNANT | 20 claims 10 mal | 10 disagree  2 agree | 16s | ETA 0.2h
INFO   [  2/ 52] 0053 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  3/ 52] 0089 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [  4/ 52] 0125 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 15s | ETA 0.2h
INFO   [  5/ 52] 0161 gold=BENIGN    | 18 claims  6 mal |  9 disagree  3 agree | 14s | ETA 0.2h
INFO   [  6/ 52] 0197 gold=BENIGN    | 15 claims  8 mal |  8 disagree  0 agree | 14s | ETA 0.2h
INFO   [  7/ 52] 0233 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 15s | ETA 0.2h
INFO   [  8/ 52] 0269 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 15s | ETA 0.2h
INFO   [  9/ 52] 0305 gold=BENIGN    | 17 claims 11 mal |  8 disagree  1 agree | 15s | ETA 0.2h
INFO   [ 10/ 52] 0341 gold=MALIGNANT | 19 claims  8 mal | 10 disagree  2 agree | 15s | ETA 0.2h
INFO   [ 11/ 52] 0377 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 16s | ETA 0.2h
INFO   [ 12/ 52] 0413 gold=MALIGNANT | 19 claims  8 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 13/ 52] 0449 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 16s | ETA 0.2h
INFO   [ 14/ 52] 0485 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 15/ 52] 0521 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 16/ 52] 0557 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 17/ 52] 0593 gold=MALIGNANT | 20 claims 12 mal |  7 disagree  5 agree | 16s | ETA 0.1h
INFO   [ 18/ 52] 0629 gold=MALIGNANT | 20 claims 11 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 19/ 52] 0665 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 20/ 52] 0701 gold=BENIGN    | 20 claims 17 mal |  2 disagree 10 agree | 15s | ETA 0.1h
INFO   [ 21/ 52] 0737 gold=BENIGN    | 19 claims  6 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 22/ 52] 0773 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 23/ 52] 0809 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 24/ 52] 0845 gold=MALIGNANT | 18 claims  9 mal | 10 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 25/ 52] 0881 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 26/ 52] 0917 gold=MALIGNANT | 18 claims 11 mal | 12 disagree  0 agree | 14s | ETA 0.1h
INFO   [ 27/ 52] 0953 gold=BENIGN    | 20 claims 13 mal | 11 disagree  1 agree | 17s | ETA 0.1h
INFO   [ 28/ 52] 0989 gold=BENIGN    | 19 claims 17 mal |  4 disagree  8 agree | 16s | ETA 0.1h
INFO   [ 29/ 52] 1025 gold=BENIGN    | 20 claims  7 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 30/ 52] 1061 gold=BENIGN    | 17 claims  7 mal |  7 disagree  2 agree | 14s | ETA 0.1h
INFO   [ 31/ 52] 1097 gold=MALIGNANT | 18 claims 11 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 32/ 52] 1133 gold=BENIGN    | 20 claims 14 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 33/ 52] 1169 gold=BENIGN    | 20 claims  8 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 34/ 52] 1205 gold=BENIGN    | 19 claims 11 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 35/ 52] 1241 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 36/ 52] 1277 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 37/ 52] 1313 gold=BENIGN    | 20 claims 12 mal | 10 disagree  2 agree | 17s | ETA 0.1h
INFO   [ 38/ 52] 1349 gold=BENIGN    | 20 claims 14 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 39/ 52] 1385 gold=MALIGNANT | 20 claims 14 mal | 11 disagree  1 agree | 17s | ETA 0.1h
