INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=12/36 | 52 samples
INFO   [  1/ 52] 0012 gold=BENIGN    | 18 claims  8 mal |  8 disagree  3 agree | 11s | ETA 0.1h
INFO   [  2/ 52] 0048 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [  3/ 52] 0084 gold=MALIGNANT | 20 claims 13 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [  4/ 52] 0120 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  5/ 52] 0156 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [  6/ 52] 0192 gold=BENIGN    | 19 claims 15 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [  7/ 52] 0228 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  8/ 52] 0264 gold=BENIGN    | 19 claims  7 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [  9/ 52] 0300 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 10/ 52] 0336 gold=BENIGN    | 19 claims  7 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 11/ 52] 0372 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 12/ 52] 0408 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 13/ 52] 0444 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 14/ 52] 0480 gold=MALIGNANT | 19 claims  8 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 15/ 52] 0516 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 16/ 52] 0552 gold=BENIGN    | 18 claims  6 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 17/ 52] 0588 gold=MALIGNANT | 20 claims  8 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 18/ 52] 0624 gold=BENIGN    | 18 claims  9 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 19/ 52] 0660 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 20/ 52] 0696 gold=BENIGN    | 19 claims  8 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 21/ 52] 0732 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 22/ 52] 0768 gold=MALIGNANT | 20 claims 15 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 23/ 52] 0804 gold=MALIGNANT | 20 claims 13 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 24/ 52] 0840 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 25/ 52] 0876 gold=MALIGNANT | 20 claims 14 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 26/ 52] 0912 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 27/ 52] 0948 gold=BENIGN    | 18 claims  9 mal |  7 disagree  5 agree | 11s | ETA 0.1h
INFO   [ 28/ 52] 0984 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 29/ 52] 1020 gold=BENIGN    | 19 claims 15 mal |  8 disagree  4 agree | 11s | ETA 0.1h
