INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=22/36 | 52 samples
INFO   [  1/ 52] 0022 gold=MALIGNANT | 20 claims  8 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [  2/ 52] 0058 gold=MALIGNANT | 19 claims 13 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [  3/ 52] 0094 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  4/ 52] 0130 gold=BENIGN    | 20 claims  6 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  5/ 52] 0166 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [  6/ 52] 0202 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  7/ 52] 0238 gold=BENIGN    | 19 claims 14 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [  8/ 52] 0274 gold=BENIGN    | 19 claims 11 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [  9/ 52] 0310 gold=BENIGN    | 20 claims 14 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 10/ 52] 0346 gold=MALIGNANT | 20 claims  8 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 11/ 52] 0382 gold=BENIGN    | 18 claims  9 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 12/ 52] 0418 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 13/ 52] 0454 gold=MALIGNANT | 19 claims  8 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 14/ 52] 0490 gold=MALIGNANT | 18 claims 13 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [ 15/ 52] 0526 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 16/ 52] 0562 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 17/ 52] 0598 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 18/ 52] 0634 gold=MALIGNANT | 19 claims 11 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 19/ 52] 0670 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 20/ 52] 0706 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 21/ 52] 0742 gold=BENIGN    | 20 claims 13 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 22/ 52] 0778 gold=BENIGN    | 18 claims  7 mal |  8 disagree  4 agree | 10s | ETA 0.1h
INFO   [ 23/ 52] 0814 gold=BENIGN    | 20 claims 18 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 24/ 52] 0850 gold=MALIGNANT | 19 claims 10 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 25/ 52] 0886 gold=BENIGN    | 19 claims  7 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 26/ 52] 0922 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 27/ 52] 0958 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 28/ 52] 0994 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 29/ 52] 1030 gold=BENIGN    | 20 claims 17 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 30/ 52] 1066 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 31/ 52] 1102 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 32/ 52] 1138 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 33/ 52] 1174 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 34/ 52] 1210 gold=BENIGN    | 18 claims  9 mal | 10 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 35/ 52] 1246 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 36/ 52] 1282 gold=BENIGN    | 20 claims  8 mal |  8 disagree  4 agree | 11s | ETA 0.0h
INFO   [ 37/ 52] 1318 gold=BENIGN    | 18 claims  6 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 38/ 52] 1354 gold=BENIGN    | 20 claims 17 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 39/ 52] 1390 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 40/ 52] 1426 gold=MALIGNANT | 19 claims 12 mal |  9 disagree  3 agree | 11s | ETA 0.0h
INFO   [ 41/ 52] 1462 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 11s | ETA 0.0h
INFO   [ 42/ 52] 1498 gold=BENIGN    | 20 claims  5 mal |  6 disagree  6 agree | 11s | ETA 0.0h
INFO   [ 43/ 52] 1534 gold=BENIGN    | 19 claims 14 mal |  9 disagree  3 agree | 10s | ETA 0.0h
INFO   [ 44/ 52] 1570 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 11s | ETA 0.0h
INFO   [ 45/ 52] 1606 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 46/ 52] 1642 gold=MALIGNANT | 19 claims 12 mal | 11 disagree  1 agree | 10s | ETA 0.0h
INFO   [ 47/ 52] 1678 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 48/ 52] 1714 gold=MALIGNANT | 19 claims 10 mal | 11 disagree  1 agree | 11s | ETA 0.0h
INFO   [ 49/ 52] 1750 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 10s | ETA 0.0h
INFO   [ 50/ 52] 1786 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 51/ 52] 1822 gold=MALIGNANT | 20 claims 11 mal | 10 disagree  2 agree | 10s | ETA 0.0h
INFO   [ 52/ 52] 1858 gold=MALIGNANT | 20 claims 10 mal |  8 disagree  4 agree | 11s | ETA 0.0h
