INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=2/36 | 53 samples
INFO   [  1/ 53] 0002 gold=BENIGN    | 20 claims  8 mal |  9 disagree  3 agree | 19s | ETA 0.3h
INFO   [  2/ 53] 0038 gold=BENIGN    | 19 claims  7 mal |  8 disagree  4 agree | 11s | ETA 0.2h
INFO   [  3/ 53] 0074 gold=BENIGN    | 20 claims  5 mal |  9 disagree  3 agree | 11s | ETA 0.2h
INFO   [  4/ 53] 0110 gold=MALIGNANT | 20 claims 12 mal |  9 disagree  3 agree | 11s | ETA 0.2h
INFO   [  5/ 53] 0146 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 11s | ETA 0.2h
INFO   [  6/ 53] 0182 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 10s | ETA 0.2h
INFO   [  7/ 53] 0218 gold=BENIGN    | 19 claims 11 mal | 11 disagree  1 agree | 10s | ETA 0.2h
INFO   [  8/ 53] 0254 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [  9/ 53] 0290 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 10/ 53] 0326 gold=BENIGN    | 19 claims  7 mal |  8 disagree  4 agree | 10s | ETA 0.1h
INFO   [ 11/ 53] 0362 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 14s | ETA 0.1h
INFO   [ 12/ 53] 0398 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 13/ 53] 0434 gold=MALIGNANT | 19 claims 14 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 14/ 53] 0470 gold=MALIGNANT | 20 claims 14 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [ 15/ 53] 0506 gold=BENIGN    | 18 claims  6 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [ 16/ 53] 0542 gold=BENIGN    | 19 claims  9 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [ 17/ 53] 0578 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 18/ 53] 0614 gold=MALIGNANT | 20 claims  9 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 19/ 53] 0650 gold=BENIGN    | 20 claims 13 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [ 20/ 53] 0686 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 21/ 53] 0722 gold=BENIGN    | 19 claims 14 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 22/ 53] 0758 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 23/ 53] 0794 gold=MALIGNANT | 19 claims 11 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 24/ 53] 0830 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 25/ 53] 0866 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 26/ 53] 0902 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 27/ 53] 0938 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 28/ 53] 0974 gold=BENIGN    | 19 claims 15 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 29/ 53] 1010 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 30/ 53] 1046 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 31/ 53] 1082 gold=BENIGN    | 20 claims 10 mal |  8 disagree  4 agree | 10s | ETA 0.1h
INFO   [ 32/ 53] 1118 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 33/ 53] 1154 gold=MALIGNANT | 20 claims 13 mal |  7 disagree  5 agree | 11s | ETA 0.1h
INFO   [ 34/ 53] 1190 gold=MALIGNANT | 20 claims 12 mal | 10 disagree  2 agree | 11s | ETA 0.1h
INFO   [ 35/ 53] 1226 gold=BENIGN    | 20 claims  9 mal |  9 disagree  3 agree | 10s | ETA 0.1h
INFO   [ 36/ 53] 1262 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 37/ 53] 1298 gold=BENIGN    | 20 claims 11 mal | 10 disagree  2 agree | 11s | ETA 0.0h
