INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=30/36 | 52 samples
INFO   [  1/ 52] 0030 gold=MALIGNANT | 18 claims 14 mal |  7 disagree  5 agree | 9s | ETA 0.1h
INFO   [  2/ 52] 0066 gold=BENIGN    | 19 claims  9 mal | 10 disagree  2 agree | 9s | ETA 0.1h
INFO   [  3/ 52] 0102 gold=MALIGNANT | 17 claims  9 mal |  7 disagree  2 agree | 9s | ETA 0.1h
INFO   [  4/ 52] 0138 gold=BENIGN    | 20 claims 16 mal |  7 disagree  5 agree | 9s | ETA 0.1h
INFO   [  5/ 52] 0174 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 9s | ETA 0.1h
INFO   [  6/ 52] 0210 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [  7/ 52] 0246 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [  8/ 52] 0282 gold=BENIGN    | 18 claims  7 mal | 10 disagree  2 agree | 9s | ETA 0.1h
INFO   [  9/ 52] 0318 gold=BENIGN    | 19 claims 13 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 10/ 52] 0354 gold=BENIGN    | 18 claims 10 mal | 11 disagree  1 agree | 9s | ETA 0.1h
INFO   [ 11/ 52] 0390 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 9s | ETA 0.1h
INFO   [ 12/ 52] 0426 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 13/ 52] 0462 gold=BENIGN    | 17 claims  4 mal |  8 disagree  1 agree | 9s | ETA 0.1h
INFO   [ 14/ 52] 0498 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 15/ 52] 0534 gold=BENIGN    | 19 claims  7 mal | 11 disagree  1 agree | 9s | ETA 0.1h
INFO   [ 16/ 52] 0570 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 17/ 52] 0606 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 18/ 52] 0642 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 19/ 52] 0678 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 20/ 52] 0714 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 21/ 52] 0750 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 22/ 52] 0786 gold=BENIGN    | 19 claims 12 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 23/ 52] 0822 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 24/ 52] 0858 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 25/ 52] 0894 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 26/ 52] 0930 gold=BENIGN    | 19 claims 14 mal |  5 disagree  7 agree | 9s | ETA 0.1h
INFO   [ 27/ 52] 0966 gold=BENIGN    | 20 claims 15 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 28/ 52] 1002 gold=MALIGNANT | 20 claims  9 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 29/ 52] 1038 gold=BENIGN    | 19 claims 14 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 30/ 52] 1074 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 9s | ETA 0.1h
INFO   [ 31/ 52] 1110 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 10s | ETA 0.1h
INFO   [ 32/ 52] 1146 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 10s | ETA 0.1h
INFO   [ 33/ 52] 1182 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 34/ 52] 1218 gold=BENIGN    | 18 claims 15 mal |  8 disagree  4 agree | 10s | ETA 0.0h
INFO   [ 35/ 52] 1254 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 36/ 52] 1290 gold=MALIGNANT | 17 claims 13 mal |  7 disagree  2 agree | 9s | ETA 0.0h
INFO   [ 37/ 52] 1326 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 38/ 52] 1362 gold=BENIGN    | 18 claims 12 mal |  8 disagree  4 agree | 9s | ETA 0.0h
INFO   [ 39/ 52] 1398 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 9s | ETA 0.0h
INFO   [ 40/ 52] 1434 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 41/ 52] 1470 gold=BENIGN    | 19 claims  6 mal |  9 disagree  3 agree | 9s | ETA 0.0h
INFO   [ 42/ 52] 1506 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 43/ 52] 1542 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 44/ 52] 1578 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 10s | ETA 0.0h
INFO   [ 45/ 52] 1614 gold=BENIGN    | 18 claims 11 mal |  9 disagree  3 agree | 9s | ETA 0.0h
INFO   [ 46/ 52] 1650 gold=MALIGNANT | 20 claims 14 mal | 10 disagree  2 agree | 11s | ETA 0.0h
INFO   [ 47/ 52] 1686 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 48/ 52] 1722 gold=MALIGNANT | 20 claims  7 mal |  8 disagree  4 agree | 10s | ETA 0.0h
INFO   [ 49/ 52] 1758 gold=MALIGNANT | 20 claims 15 mal | 11 disagree  1 agree | 10s | ETA 0.0h
INFO   [ 50/ 52] 1794 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 51/ 52] 1830 gold=BENIGN    | 19 claims  8 mal | 11 disagree  1 agree | 9s | ETA 0.0h
INFO   [ 52/ 52] 1866 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO Done in 8.3 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
