INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=1/36 | 53 samples
INFO   [  1/ 53] 0001 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 21s | ETA 0.3h
INFO   [  2/ 53] 0037 gold=BENIGN    | 19 claims  6 mal | 10 disagree  2 agree | 15s | ETA 0.3h
INFO   [  3/ 53] 0073 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 14s | ETA 0.2h
INFO   [  4/ 53] 0109 gold=BENIGN    | 20 claims 13 mal |  8 disagree  4 agree | 15s | ETA 0.2h
INFO   [  5/ 53] 0145 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [  6/ 53] 0181 gold=BENIGN    | 19 claims 11 mal |  9 disagree  3 agree | 15s | ETA 0.2h
INFO   [  7/ 53] 0217 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [  8/ 53] 0253 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [  9/ 53] 0289 gold=BENIGN    | 20 claims  6 mal |  9 disagree  3 agree | 15s | ETA 0.2h
INFO   [ 10/ 53] 0325 gold=BENIGN    | 16 claims  7 mal |  8 disagree  0 agree | 13s | ETA 0.2h
INFO   [ 11/ 53] 0361 gold=MALIGNANT | 19 claims  8 mal | 11 disagree  1 agree | 15s | ETA 0.2h
INFO   [ 12/ 53] 0397 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 16s | ETA 0.2h
INFO   [ 13/ 53] 0433 gold=MALIGNANT | 18 claims  9 mal | 12 disagree  0 agree | 15s | ETA 0.2h
INFO   [ 14/ 53] 0469 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 15/ 53] 0505 gold=BENIGN    | 19 claims 14 mal | 12 disagree  0 agree | 17s | ETA 0.2h
INFO   [ 16/ 53] 0541 gold=BENIGN    | 20 claims  8 mal |  9 disagree  3 agree | 16s | ETA 0.2h
INFO   [ 17/ 53] 0577 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 18/ 53] 0613 gold=MALIGNANT | 19 claims  7 mal | 12 disagree  0 agree | 16s | ETA 0.2h
INFO   [ 19/ 53] 0649 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 20/ 53] 0685 gold=MALIGNANT | 19 claims 12 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 21/ 53] 0721 gold=BENIGN    | 20 claims 14 mal | 10 disagree  2 agree | 15s | ETA 0.1h
INFO   [ 22/ 53] 0757 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 23/ 53] 0793 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 24/ 53] 0829 gold=BENIGN    | 20 claims 13 mal |  8 disagree  4 agree | 16s | ETA 0.1h
INFO   [ 25/ 53] 0865 gold=MALIGNANT | 20 claims 14 mal |  7 disagree  5 agree | 16s | ETA 0.1h
INFO   [ 26/ 53] 0901 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 27/ 53] 0937 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 28/ 53] 0973 gold=BENIGN    | 18 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 29/ 53] 1009 gold=BENIGN    | 19 claims 11 mal |  9 disagree  3 agree | 16s | ETA 0.1h
INFO   [ 30/ 53] 1045 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 16s | ETA 0.1h
INFO   [ 31/ 53] 1081 gold=BENIGN    | 20 claims  8 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 32/ 53] 1117 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 15s | ETA 0.1h
INFO   [ 33/ 53] 1153 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 34/ 53] 1189 gold=BENIGN    | 19 claims 12 mal | 10 disagree  2 agree | 16s | ETA 0.1h
INFO   [ 35/ 53] 1225 gold=MALIGNANT | 20 claims 16 mal |  9 disagree  3 agree | 17s | ETA 0.1h
INFO   [ 36/ 53] 1261 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 37/ 53] 1297 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 15s | ETA 0.1h
INFO   [ 38/ 53] 1333 gold=MALIGNANT | 19 claims 11 mal |  9 disagree  3 agree | 15s | ETA 0.1h
