INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=7/36 | 52 samples
INFO   [ 37/ 52] 1303 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 26s | ETA 0.0h
INFO   [ 38/ 52] 1339 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 26s | ETA 0.0h
INFO   [ 39/ 52] 1375 gold=BENIGN    | 19 claims 13 mal | 10 disagree  2 agree | 26s | ETA 0.0h
INFO   [ 40/ 52] 1411 gold=BENIGN    | 19 claims  7 mal | 12 disagree  0 agree | 27s | ETA 0.0h
INFO   [ 41/ 52] 1447 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 26s | ETA 0.0h
INFO   [ 42/ 52] 1483 gold=MALIGNANT | 18 claims 11 mal | 11 disagree  1 agree | 27s | ETA 0.0h
INFO   [ 43/ 52] 1519 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 27s | ETA 0.0h
INFO   [ 44/ 52] 1555 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 25s | ETA 0.0h
INFO   [ 45/ 52] 1591 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 27s | ETA 0.0h
INFO   [ 46/ 52] 1627 gold=BENIGN    | 20 claims 14 mal |  9 disagree  3 agree | 28s | ETA 0.0h
INFO   [ 47/ 52] 1663 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 26s | ETA 0.0h
INFO   [ 48/ 52] 1699 gold=BENIGN    | 18 claims  3 mal |  3 disagree  9 agree | 24s | ETA 0.0h
INFO   [ 49/ 52] 1735 gold=BENIGN    | 19 claims 12 mal | 11 disagree  1 agree | 26s | ETA 0.0h
INFO   [ 50/ 52] 1771 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 28s | ETA 0.0h
INFO   [ 51/ 52] 1807 gold=BENIGN    | 20 claims 15 mal | 11 disagree  1 agree | 28s | ETA 0.0h
INFO   [ 52/ 52] 1843 gold=MALIGNANT | 20 claims 14 mal |  9 disagree  3 agree | 26s | ETA 0.0h
INFO Done in 7.0 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
